baseline,baseline_value,benchmark,delta,lower_is_better,metric,outcome,ranc_value,seed,task
standard,0.8721461187214612,openml_balance_scale,-0.004566210045662156,False,accuracy,loss,0.867579908675799,0,classification
robust,0.867579908675799,openml_balance_scale,0.0,False,accuracy,tie,0.867579908675799,0,classification
selector,0.8721461187214612,openml_balance_scale,-0.004566210045662156,False,accuracy,loss,0.867579908675799,0,classification
standard,0.8584474885844748,openml_balance_scale,0.0,False,accuracy,tie,0.8584474885844748,1,classification
robust,0.8584474885844748,openml_balance_scale,0.0,False,accuracy,tie,0.8584474885844748,1,classification
selector,0.8904109589041096,openml_balance_scale,-0.03196347031963476,False,accuracy,loss,0.8584474885844748,1,classification
standard,0.8721461187214612,openml_balance_scale,-0.004566210045662156,False,accuracy,loss,0.867579908675799,2,classification
robust,0.8721461187214612,openml_balance_scale,-0.004566210045662156,False,accuracy,loss,0.867579908675799,2,classification
selector,0.8995433789954338,openml_balance_scale,-0.03196347031963476,False,accuracy,loss,0.867579908675799,2,classification
standard,0.9998420221169037,openml_banknote_authentication,3.510619624369493e-05,False,auroc,win,0.9998771283131473,0,classification
robust,0.9998244690187819,openml_banknote_authentication,5.2659294365486886e-05,False,auroc,win,0.9998771283131473,0,classification
selector,1.0,openml_banknote_authentication,-0.0001228716868526547,False,auroc,loss,0.9998771283131473,0,classification
standard,0.9996096383831932,openml_banknote_authentication,-1.774370985485607e-05,False,auroc,loss,0.9995918946733383,1,classification
robust,0.9996096383831932,openml_banknote_authentication,-1.774370985485607e-05,False,auroc,loss,0.9995918946733383,1,classification
selector,1.0,openml_banknote_authentication,-0.00040810532666168964,False,auroc,loss,0.9995918946733383,1,classification
standard,0.9992516533240515,openml_banknote_authentication,0.0,False,auroc,tie,0.9992516533240515,2,classification
robust,0.9992516533240515,openml_banknote_authentication,0.0,False,auroc,tie,0.9992516533240515,2,classification
selector,1.0,openml_banknote_authentication,-0.0007483466759484747,False,auroc,loss,0.9992516533240515,2,classification
standard,0.5058139534883721,openml_cmc,-0.005813953488372103,False,accuracy,loss,0.5,0,classification
robust,0.5038759689922481,openml_cmc,-0.003875968992248069,False,accuracy,loss,0.5,0,classification
selector,0.5329457364341085,openml_cmc,-0.032945736434108475,False,accuracy,loss,0.5,0,classification
standard,0.5174418604651163,openml_cmc,0.013565891472868241,False,accuracy,win,0.5310077519379846,1,classification
robust,0.5135658914728682,openml_cmc,0.01744186046511631,False,accuracy,win,0.5310077519379846,1,classification
selector,0.5581395348837209,openml_cmc,-0.02713178294573637,False,accuracy,loss,0.5310077519379846,1,classification
standard,0.4941860465116279,openml_cmc,0.007751937984496138,False,accuracy,win,0.501937984496124,2,classification
robust,0.5038759689922481,openml_cmc,-0.0019379844961240345,False,accuracy,loss,0.501937984496124,2,classification
selector,0.5058139534883721,openml_cmc,-0.003875968992248069,False,accuracy,loss,0.501937984496124,2,classification
standard,0.8987192800276912,openml_credit_approval,0.012876427829698889,False,auroc,win,0.9115957078573901,0,classification
robust,0.9189338871581862,openml_credit_approval,-0.007338179300796166,False,auroc,loss,0.9115957078573901,0,classification
selector,0.9127033575631707,openml_credit_approval,-0.001107649705780589,False,auroc,loss,0.9115957078573901,0,classification
standard,0.9337535014005602,openml_credit_approval,0.008123249299719859,False,auroc,win,0.9418767507002801,1,classification
robust,0.9453081232492997,openml_credit_approval,-0.0034313725490195957,False,auroc,loss,0.9418767507002801,1,classification
selector,0.9337535014005602,openml_credit_approval,0.008123249299719859,False,auroc,win,0.9418767507002801,1,classification
standard,0.9383196721311475,openml_credit_approval,-0.0017759562841529464,False,auroc,loss,0.9365437158469946,2,classification
robust,0.9492486338797814,openml_credit_approval,-0.012704918032786838,False,auroc,loss,0.9365437158469946,2,classification
selector,0.9383196721311475,openml_credit_approval,-0.0017759562841529464,False,auroc,loss,0.9365437158469946,2,classification
standard,0.7522279549718575,openml_credit_g,-7.8173858661712e-05,False,auroc,loss,0.7521497811131957,0,classification
robust,0.7582473420888055,openml_credit_g,-0.0060975609756097615,False,auroc,loss,0.7521497811131957,0,classification
selector,0.7582473420888055,openml_credit_g,-0.0060975609756097615,False,auroc,loss,0.7521497811131957,0,classification
standard,0.7569398271276596,openml_credit_g,-0.0012466755319149314,False,auroc,loss,0.7556931515957447,1,classification
robust,0.7637549867021276,openml_credit_g,-0.00806183510638292,False,auroc,loss,0.7556931515957447,1,classification
selector,0.7691156914893619,openml_credit_g,-0.013422539893617191,False,auroc,loss,0.7556931515957447,1,classification
standard,0.7766971992913415,openml_credit_g,-0.0005654189754608074,False,auroc,loss,0.7761317803158807,2,classification
robust,0.7827283350295903,openml_credit_g,-0.006596554713709568,False,auroc,loss,0.7761317803158807,2,classification
selector,0.7766971992913415,openml_credit_g,-0.0005654189754608074,False,auroc,loss,0.7761317803158807,2,classification
standard,0.85,openml_diabetes,-0.007677902621722743,False,auroc,loss,0.8423220973782772,0,classification
robust,0.8496878901373284,openml_diabetes,-0.007365792759051137,False,auroc,loss,0.8423220973782772,0,classification
selector,0.8439450686641699,openml_diabetes,-0.001622971285892616,False,auroc,loss,0.8423220973782772,0,classification
standard,0.8384150030248034,openml_diabetes,0.009497882637628519,False,auroc,win,0.847912885662432,1,classification
robust,0.8384150030248033,openml_diabetes,0.00949788263762863,False,auroc,win,0.847912885662432,1,classification
selector,0.861826981246219,openml_diabetes,-0.01391409558378709,False,auroc,loss,0.847912885662432,1,classification
standard,0.7652813299232737,openml_diabetes,0.05031969309462914,False,auroc,win,0.8156010230179028,2,classification
robust,0.7664322250639386,openml_diabetes,0.04916879795396423,False,auroc,win,0.8156010230179028,2,classification
selector,0.825383631713555,openml_diabetes,-0.009782608695652173,False,auroc,loss,0.8156010230179028,2,classification
standard,0.8679245283018868,openml_iris,-0.05660377358490565,False,accuracy,loss,0.8113207547169812,0,classification
robust,0.8113207547169812,openml_iris,0.0,False,accuracy,tie,0.8113207547169812,0,classification
selector,0.8679245283018868,openml_iris,-0.05660377358490565,False,accuracy,loss,0.8113207547169812,0,classification
standard,0.8679245283018868,openml_iris,-0.018867924528301883,False,accuracy,loss,0.8490566037735849,1,classification
robust,0.8301886792452831,openml_iris,0.018867924528301883,False,accuracy,win,0.8490566037735849,1,classification
selector,0.8490566037735849,openml_iris,0.0,False,accuracy,tie,0.8490566037735849,1,classification
standard,0.9056603773584906,openml_iris,0.0,False,accuracy,tie,0.9056603773584906,2,classification
robust,0.8867924528301887,openml_iris,0.018867924528301883,False,accuracy,win,0.9056603773584906,2,classification
selector,0.8867924528301887,openml_iris,0.018867924528301883,False,accuracy,win,0.9056603773584906,2,classification
standard,0.963173334100256,openml_spambase,0.0010369433020492869,False,auroc,win,0.9642102774023052,0,classification
robust,0.9650938361789358,openml_spambase,-0.0008835587766305997,False,auroc,loss,0.9642102774023052,0,classification
selector,0.9807742083920509,openml_spambase,-0.016563930989745623,False,auroc,loss,0.9642102774023052,0,classification
standard,0.9681753348075395,openml_spambase,-0.0002600601807976055,False,auroc,loss,0.9679152746267419,1,classification
robust,0.9704249351445009,openml_spambase,-0.002509660517759027,False,auroc,loss,0.9679152746267419,1,classification
selector,0.9804508135256823,openml_spambase,-0.012535538898940435,False,auroc,loss,0.9679152746267419,1,classification
standard,0.9691795405427039,openml_spambase,0.0019226766989514088,False,auroc,win,0.9711022172416554,2,classification
